[2023-07-10 09:32:56] [world] The Player <Enderlava> has died with 36 level(s) at X= -850, Y= 50, Z= -730 | caused by ENTITY_EXPLOSION | 
[2023-07-10 09:36:02] [world] The Player <wqe123420> has died with 62 level(s) at X= -41, Y= -63, Z= -248 | caused by FALL | 
[2023-07-10 09:48:22] [world] The Player <wqe123420> has died with 57 level(s) at X= -41, Y= -52, Z= -248 | caused by FALL | 
[2023-07-10 10:02:23] [world] The Player <wqe123420> has died with 52 level(s) at X= -41, Y= -55, Z= -246 | caused by FALL | 
[2023-07-10 10:03:06] [world] The Player <Xw114> has died with 14 level(s) at X= -19, Y= 63, Z= -288 | caused by ENTITY_EXPLOSION | 
[2023-07-10 10:09:32] [world] The Player <wqe123420> has died with 48 level(s) at X= -41, Y= -63, Z= -248 | caused by FALL | 
[2023-07-10 10:13:30] [world] The Player <wqe123420> has died with 44 level(s) at X= -41, Y= -63, Z= -248 | caused by FALL | 
[2023-07-10 10:22:43] [world] The Player <wqe123420> has died with 41 level(s) at X= -41, Y= -63, Z= -248 | caused by FALL | 
[2023-07-10 10:22:57] [world] The Player <Enderlava> has died with 33 level(s) at X= -71, Y= 70, Z= -223 | caused by PROJECTILE | 
[2023-07-10 11:20:32] [world] The Player <Enderlava> has died with 32 level(s) at X= -80, Y= 72, Z= -227 | caused by ENTITY_ATTACK | 
[2023-07-10 12:52:53] [world] The Player <wqe123420> has died with 38 level(s) at X= -27, Y= -57, Z= -107 | caused by ENTITY_ATTACK | 
[2023-07-10 13:09:38] [world] The Player <wqe123420> has died with 35 level(s) at X= -31, Y= -56, Z= -248 | caused by LAVA | 
[2023-07-10 14:15:43] [world_nether] The Player <wqe123420> has died with 34 level(s) at X= -10, Y= 135, Z= -77 | caused by Player | Enderlava
[2023-07-10 14:30:13] [world] The Player <Enderlava> has died with 31 level(s) at X= 2, Y= 60, Z= -281 | caused by PROJECTILE | 
[2023-07-10 15:10:54] [world_the_end] The Player <wqe123420> has died with 31 level(s) at X= -807, Y= 61, Z= -3421 | caused by FALL | 
[2023-07-10 15:43:10] [world] The Player <wqe123420> has died with 29 level(s) at X= -243, Y= 67, Z= -154 | caused by FALL | 
[2023-07-10 16:16:40] [world] The Player <Enderlava> has died with 28 level(s) at X= -59, Y= 49, Z= -513 | caused by DROWNING | 
[2023-07-10 16:48:43] [world] The Player <Enderlava> has died with 27 level(s) at X= -1, Y= 73, Z= -193 | caused by ENTITY_ATTACK | 
[2023-07-10 19:15:45] [world] The Player <Enderlava> has died with 29 level(s) at X= -64, Y= 68, Z= -190 | caused by ENTITY_ATTACK | 
[2023-07-10 19:39:20] [world_the_end] The Player <Enderlava> has died with 82 level(s) at X= 322, Y= -119, Z= 37 | caused by VOID | 
[2023-07-10 20:08:02] [world_the_end] The Player <Enderlava> has died with 104 level(s) at X= 328, Y= 1, Z= 7 | caused by ENTITY_ATTACK | 
[2023-07-10 21:03:48] [world_the_end] The Player <Enderlava> has died with 123 level(s) at X= 172, Y= -95, Z= 26 | caused by VOID | 
[2023-07-10 21:04:20] [world_the_end] The Player <Enderlava> has died with 123 level(s) at X= 136, Y= -157, Z= -10 | caused by VOID | 
[2023-07-10 21:22:28] [world] The Player <wqe123420> has died with 69 level(s) at X= -17, Y= 70, Z= -281 | caused by ENTITY_ATTACK | 
