[2023-07-11 09:23:59] [world_the_end] The Player <Funget114514> has died with 49 level(s) at X= 329, Y= 1, Z= 7 | caused by LIGHTNING | 
[2023-07-11 09:26:14] [world_the_end] The Player <Funget114514> has died with 49 level(s) at X= 320, Y= 1, Z= 6 | caused by FIRE_TICK | 
[2023-07-11 09:26:20] [world_the_end] The Player <Enderlava> has died with 123 level(s) at X= 319, Y= 4, Z= 5 | caused by ENTITY_ATTACK | 
[2023-07-11 09:27:08] [world_the_end] The Player <Enderlava> has died with 123 level(s) at X= 304, Y= -93, Z= 24 | caused by VOID | 
[2023-07-11 09:28:20] [world_the_end] The Player <Enderlava> has died with 123 level(s) at X= 436, Y= -81, Z= 29 | caused by VOID | 
[2023-07-11 09:30:43] [world_the_end] The Player <Funget114514> has died with 51 level(s) at X= -19, Y= 1, Z= -277 | caused by ENTITY_ATTACK | 
[2023-07-11 09:37:00] [world_the_end] The Player <Enderlava> has died with 124 level(s) at X= -14, Y= 1, Z= -282 | caused by WITHER | 
[2023-07-11 10:58:02] [world] The Player <Enderlava> has died with 124 level(s) at X= 34, Y= 67, Z= -306 | caused by FALL | 
[2023-07-11 11:42:57] [world] The Player <Xw114> has died with 13 level(s) at X= -46, Y= 74, Z= -237 | caused by ENTITY_ATTACK | 
[2023-07-11 11:44:19] [world] The Player <Xw114> has died with 0 level(s) at X= -15, Y= 70, Z= -257 | caused by Player | .Mai_Shiranui520
[2023-07-11 11:44:58] [world] The Player <Xw114> has died with 1 level(s) at X= -28, Y= 63, Z= -288 | caused by Player | .Mai_Shiranui520
[2023-07-11 11:45:54] [world] The Player <Xw114> has died with 1 level(s) at X= -36, Y= 75, Z= -231 | caused by ENTITY_ATTACK | 
[2023-07-11 11:47:37] [world] The Player <Funget114514> has died with 69 level(s) at X= -12, Y= 59, Z= -315 | caused by Player | Enderlava
[2023-07-11 11:49:28] [world] The Player <Xw114> has died with 0 level(s) at X= -18, Y= 76, Z= -264 | caused by ENTITY_ATTACK | 
[2023-07-11 12:07:29] [world] The Player <Enderlava> has died with 113 level(s) at X= -26, Y= 62, Z= -290 | caused by Player | Funget114514
[2023-07-11 12:07:49] [world] The Player <Enderlava> has died with 0 level(s) at X= -28, Y= 64, Z= -288 | caused by Player | Funget114514
[2023-07-11 12:08:01] [world] The Player <Enderlava> has died with 0 level(s) at X= -29, Y= 63, Z= -283 | caused by Player | Funget114514
[2023-07-11 13:17:20] [world] The Player <Enderlava> has died with 102 level(s) at X= 8, Y= 50, Z= -311 | caused by DROWNING | 
[2023-07-11 14:10:58] [em_adventurers_guild] The Player <Funget114514> has died with 63 level(s) at X= 279, Y= 83, Z= 243 | caused by WITHER | 
[2023-07-11 17:15:33] [world] The Player <wqe123420> has died with 64 level(s) at X= 35, Y= 54, Z= -178 | caused by ENTITY_ATTACK | 
[2023-07-11 17:30:23] [world_nether] The Player <wqe123420> has died with 59 level(s) at X= 12, Y= 128, Z= -24 | caused by FLY_INTO_WALL | 
[2023-07-11 17:39:03] [world] The Player <Enderlava> has died with 100 level(s) at X= 1, Y= 55, Z= -162 | caused by PROJECTILE | 
[2023-07-11 17:39:39] [world] The Player <Enderlava> has died with 92 level(s) at X= 5, Y= 60, Z= -162 | caused by PROJECTILE | 
[2023-07-11 17:41:21] [world] The Player <Enderlava> has died with 84 level(s) at X= 10, Y= 51, Z= -166 | caused by ENTITY_ATTACK | 
[2023-07-11 17:44:09] [world] The Player <Enderlava> has died with 6 level(s) at X= 17, Y= 56, Z= -134 | caused by ENTITY_ATTACK | 
[2023-07-11 17:58:34] [world] The Player <wqe123420> has died with 54 level(s) at X= -26, Y= 63, Z= -282 | caused by ENTITY_ATTACK | 
[2023-07-11 18:59:41] [world] The Player <111111> has died with 0 level(s) at X= 10, Y= 62, Z= 3 | caused by ENTITY_ATTACK | 
[2023-07-11 19:55:55] [world] The Player <Funget114514> has died with 64 level(s) at X= -22, Y= 63, Z= -280 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:02] [world] The Player <Funget114514> has died with 0 level(s) at X= -23, Y= 63, Z= -282 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:05] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -280 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:09] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -280 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:12] [world] The Player <Funget114514> has died with 0 level(s) at X= -22, Y= 63, Z= -282 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:17] [world] The Player <Funget114514> has died with 0 level(s) at X= -25, Y= 63, Z= -283 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:20] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:24] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -282 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:53] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -280 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:56] [world] The Player <Funget114514> has died with 0 level(s) at X= -22, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:56:59] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:02] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:04] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:08] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:12] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:16] [world] The Player <Funget114514> has died with 0 level(s) at X= -19, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:20] [world] The Player <Funget114514> has died with 0 level(s) at X= -20, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:23] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:26] [world] The Player <Funget114514> has died with 0 level(s) at X= -20, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
[2023-07-11 19:57:28] [world] The Player <Funget114514> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
