[2023-07-19 09:19:43] [world] The Player <Funget114514> has died with 21 level(s) at X= -16, Y= 63, Z= -285 | caused by Player | Enderlava
[2023-07-19 11:09:41] [world] The Player <tree> has died with 0 level(s) at X= -10, Y= 73, Z= -245 | caused by Player | Enderlava
[2023-07-19 11:09:49] [world] The Player <tree> has died with 0 level(s) at X= -9, Y= 74, Z= -245 | caused by FALL | 
[2023-07-19 11:10:57] [world] The Player <tree> has died with 0 level(s) at X= -9, Y= 74, Z= -245 | caused by Player | Enderlava
[2023-07-19 11:16:51] [world] The Player <Funget114514> has died with 20 level(s) at X= 16, Y= 58, Z= -282 | caused by Player | Enderlava
[2023-07-19 11:36:49] [world_the_end] The Player <Enderlava> has died with 30 level(s) at X= 332, Y= 1, Z= 7 | caused by ENTITY_ATTACK | 
[2023-07-19 11:38:06] [world_the_end] The Player <Enderlava> has died with 27 level(s) at X= 299, Y= -81, Z= 6 | caused by VOID | 
[2023-07-19 12:11:38] [world_nether] The Player <Enderlava> has died with 45 level(s) at X= 27, Y= 10, Z= 1 | caused by FIRE_TICK | 
[2023-07-19 22:16:38] [world] The Player <Enderlava> has died with 41 level(s) at X= 1184, Y= 77, Z= -464 | caused by ENTITY_ATTACK | 
[2023-07-19 22:16:49] [world] The Player <Enderlava> has died with 38 level(s) at X= 1188, Y= 77, Z= -459 | caused by ENTITY_ATTACK | 
[2023-07-19 22:16:59] [world] The Player <Enderlava> has died with 35 level(s) at X= 1189, Y= 77, Z= -460 | caused by ENTITY_ATTACK | 
[2023-07-19 22:17:16] [world] The Player <Enderlava> has died with 0 level(s) at X= 1188, Y= 77, Z= -460 | caused by ENTITY_ATTACK | 
[2023-07-19 22:17:43] [world] The Player <Enderlava> has died with 0 level(s) at X= -24, Y= 63, Z= -287 | caused by ENTITY_ATTACK | 
[2023-07-19 22:17:48] [world] The Player <Enderlava> has died with 0 level(s) at X= -21, Y= 63, Z= -281 | caused by ENTITY_ATTACK | 
