[2023-07-20 11:06:02] [world] The Player <JZKJZK> has died with 0 level(s) at X= -500, Y= 63, Z= -477 | caused by ENTITY_ATTACK | 
[2023-07-20 11:52:49] [world] The Player <Enderlava> has died with 44 level(s) at X= -2918, Y= 61, Z= 4677 | caused by Player | Enderlava
[2023-07-20 13:29:09] [world_nether] The Player <Funget114514> has died with 20 level(s) at X= 24, Y= 128, Z= -5 | caused by ENTITY_EXPLOSION | 
[2023-07-20 13:31:33] [world_nether] The Player <Enderlava> has died with 42 level(s) at X= 26, Y= 128, Z= -14 | caused by Player | wqe123420
[2023-07-20 13:40:49] [world_nether] The Player <Enderlava> has died with 38 level(s) at X= 44, Y= 128, Z= -23 | caused by Player | wqe123420
[2023-07-20 14:09:24] [world_the_end] The Player <wqe123420> has died with 46 level(s) at X= 4, Y= 63, Z= -9 | caused by ENTITY_ATTACK | 
[2023-07-20 14:11:01] [world_the_end] The Player <Funget114514> has died with 18 level(s) at X= -8, Y= 56, Z= 1 | caused by Player | Funget114514
[2023-07-20 14:11:06] [world_the_end] The Player <Enderlava> has died with 35 level(s) at X= -8, Y= 65, Z= -16 | caused by ENTITY_ATTACK | 
[2023-07-20 14:41:42] [world_nether] The Player <Enderlava> has died with 36 level(s) at X= -646, Y= 34, Z= 505 | caused by LAVA | 
[2023-07-20 15:10:22] [world_the_end] The Player <Xw114> has died with 11 level(s) at X= -2, Y= 63, Z= 11 | caused by ENTITY_ATTACK | 
[2023-07-20 15:34:35] [world] The Player <Xw114> has died with 22 level(s) at X= 1084, Y= 207, Z= -199 | caused by ENTITY_ATTACK | 
[2023-07-20 15:35:21] [world] The Player <wqe123420> has died with 53 level(s) at X= 1087, Y= 206, Z= -189 | caused by ENTITY_ATTACK | 
[2023-07-20 15:36:00] [world] The Player <wqe123420> has died with 49 level(s) at X= 1068, Y= 210, Z= -202 | caused by ENTITY_ATTACK | 
[2023-07-20 15:38:04] [world] The Player <Xw114> has died with 20 level(s) at X= 1077, Y= 60, Z= -209 | caused by ENTITY_ATTACK | 
[2023-07-20 15:40:10] [world] The Player <Funget114514> has died with 31 level(s) at X= 1074, Y= 63, Z= -210 | caused by Player | Xw114
[2023-07-20 15:46:45] [world] The Player <Xw114> has died with 18 level(s) at X= -30, Y= 60, Z= -321 | caused by Player | wqe123420
[2023-07-20 15:57:52] [world_the_end] The Player <Xw114> has died with 17 level(s) at X= -18, Y= 61, Z= -3 | caused by Player | wqe123420
[2023-07-20 16:00:05] [world_the_end] The Player <Xw114> has died with 15 level(s) at X= -2, Y= 55, Z= 1 | caused by Player | wqe123420
[2023-07-20 16:03:34] [world_the_end] The Player <Xw114> has died with 14 level(s) at X= 39, Y= 57, Z= -50 | caused by Player | wqe123420
[2023-07-20 16:04:31] [world_the_end] The Player <Xw114> has died with 12 level(s) at X= -10, Y= 63, Z= 8 | caused by Player | wqe123420
[2023-07-20 16:06:02] [world_the_end] The Player <Enderlava> has died with 35 level(s) at X= -4, Y= 63, Z= -19 | caused by Player | wqe123420
[2023-07-20 16:06:27] [world_the_end] The Player <Enderlava> has died with 1 level(s) at X= -2, Y= 62, Z= -20 | caused by Player | Xw114
[2023-07-20 16:07:06] [world_the_end] The Player <Enderlava> has died with 1 level(s) at X= -8, Y= 61, Z= -3 | caused by Player | wqe123420
[2023-07-20 16:07:34] [world_the_end] The Player <Enderlava> has died with 1 level(s) at X= 22, Y= 60, Z= -24 | caused by Player | wqe123420
[2023-07-20 16:07:57] [world_the_end] The Player <Xw114> has died with 11 level(s) at X= -4, Y= 62, Z= -17 | caused by Player | Enderlava
[2023-07-20 16:08:01] [world_the_end] The Player <wqe123420> has died with 45 level(s) at X= -5, Y= 62, Z= -17 | caused by Player | Enderlava
[2023-07-20 16:08:15] [world_the_end] The Player <wqe123420> has died with 42 level(s) at X= -5, Y= 62, Z= -22 | caused by Player | Enderlava
[2023-07-20 16:08:17] [world_the_end] The Player <Xw114> has died with 10 level(s) at X= -6, Y= 62, Z= -23 | caused by Player | Enderlava
[2023-07-20 16:08:35] [world_the_end] The Player <Xw114> has died with 8 level(s) at X= -5, Y= 63, Z= -23 | caused by Player | Enderlava
[2023-07-20 16:08:37] [world_the_end] The Player <wqe123420> has died with 38 level(s) at X= -6, Y= 63, Z= -23 | caused by Player | Enderlava
[2023-07-20 16:08:44] [world_the_end] The Player <wqe123420> has died with 0 level(s) at X= -10, Y= 62, Z= -24 | caused by Player | Enderlava
[2023-07-20 16:09:19] [world_the_end] The Player <Enderlava> has died with 32 level(s) at X= -14, Y= 61, Z= -14 | caused by Player | wqe123420
[2023-07-20 16:09:41] [world_the_end] The Player <Xw114> has died with 0 level(s) at X= -2, Y= 62, Z= -14 | caused by ENTITY_ATTACK | 
[2023-07-20 16:10:01] [world] The Player <Xw114> has died with 0 level(s) at X= -21, Y= 63, Z= -283 | caused by Player | Enderlava
[2023-07-20 16:10:39] [world_the_end] The Player <Enderlava> has died with 1 level(s) at X= -14, Y= 61, Z= -12 | caused by Player | wqe123420
[2023-07-20 18:09:18] [world] The Player <wqe123420> has died with 43 level(s) at X= 2858, Y= -15, Z= -1722 | caused by FALL | 
[2023-07-20 18:48:06] [world] The Player <wqe123420> has died with 40 level(s) at X= 2757, Y= -37, Z= -1670 | caused by FLY_INTO_WALL | 
[2023-07-20 18:48:58] [world] The Player <wqe123420> has died with 37 level(s) at X= 2750, Y= -38, Z= -1727 | caused by FLY_INTO_WALL | 
[2023-07-20 18:59:20] [world] The Player <wqe123420> has died with 31 level(s) at X= -13, Y= 61, Z= -280 | caused by FALL | 
[2023-07-20 21:26:32] [world] The Player <wqe123420> has died with 19 level(s) at X= -1065, Y= 56, Z= -946 | caused by ENTITY_ATTACK | 
[2023-07-20 21:30:28] [world] The Player <wqe123420> has died with 18 level(s) at X= -871, Y= 76, Z= -934 | caused by ENTITY_ATTACK | 
[2023-07-20 22:16:11] [world] The Player <wqe123420> has died with 19 level(s) at X= -974, Y= 71, Z= -1010 | caused by FIRE_TICK | 
