[2023-07-21 09:25:31] [world] The Player <111324> has died with 0 level(s) at X= -968, Y= 70, Z= -1009 | caused by Player | Enderlava
[2023-07-21 15:20:56] [world] The Player <Enderlava> has died with 33 level(s) at X= -88, Y= 59, Z= -80 | caused by ENTITY_EXPLOSION | 
[2023-07-21 15:21:21] [world] The Player <Funget114514> has died with 22 level(s) at X= -90, Y= 50, Z= -59 | caused by ENTITY_ATTACK | 
[2023-07-21 15:22:29] [world] The Player <Funget114514> has died with 20 level(s) at X= -93, Y= 50, Z= -63 | caused by ENTITY_ATTACK | 
[2023-07-21 15:23:43] [world] The Player <Enderlava> has died with 31 level(s) at X= -85, Y= 48, Z= -99 | caused by ENTITY_ATTACK | 
[2023-07-21 15:23:55] [world] The Player <Funget114514> has died with 18 level(s) at X= -86, Y= 48, Z= -100 | caused by ENTITY_ATTACK | 
[2023-07-21 15:24:31] [world] The Player <Enderlava> has died with 29 level(s) at X= -89, Y= 61, Z= -99 | caused by ENTITY_ATTACK | 
[2023-07-21 15:31:38] [world] The Player <Funget114514> has died with 16 level(s) at X= -58, Y= 69, Z= -168 | caused by MAGIC | 
[2023-07-21 17:19:17] [world] The Player <wqe123420> has died with 6 level(s) at X= -3, Y= 62, Z= -294 | caused by CUSTOM | 
[2023-07-21 17:23:33] [world] The Player <wqe123420> has died with 11 level(s) at X= -10, Y= 56, Z= -318 | caused by ENTITY_ATTACK | 
[2023-07-21 17:23:52] [world] The Player <Funget114514> has died with 23 level(s) at X= -6, Y= 55, Z= -312 | caused by ENTITY_ATTACK | 
[2023-07-21 17:24:00] [world] The Player <wqe123420> has died with 0 level(s) at X= -16, Y= 51, Z= -313 | caused by ENTITY_ATTACK | 
[2023-07-21 17:24:20] [world] The Player <wqe123420> has died with 10 level(s) at X= -16, Y= 55, Z= -307 | caused by Player | Funget114514
[2023-07-21 17:24:23] [world] The Player <Funget114514> has died with 21 level(s) at X= -25, Y= 63, Z= -299 | caused by ENTITY_ATTACK | 
[2023-07-21 17:24:39] [world] The Player <wqe123420> has died with 8 level(s) at X= -17, Y= 58, Z= -300 | caused by ENTITY_ATTACK | 
[2023-07-21 17:26:37] [world] The Player <wqe123420> has died with 8 level(s) at X= -9, Y= 66, Z= -285 | caused by ENTITY_ATTACK | 
[2023-07-21 17:27:11] [world] The Player <wqe123420> has died with 0 level(s) at X= -7, Y= 64, Z= -285 | caused by ENTITY_ATTACK | 
[2023-07-21 17:27:32] [world] The Player <Funget114514> has died with 19 level(s) at X= -19, Y= 63, Z= -286 | caused by ENTITY_ATTACK | 
[2023-07-21 18:02:52] [world] The Player <test> has died with 0 level(s) at X= -17, Y= 63, Z= -302 | caused by Player | Enderlava
[2023-07-21 18:04:11] [world] The Player <test> has died with 0 level(s) at X= -16, Y= 63, Z= -302 | caused by Player | Enderlava
[2023-07-21 18:07:00] [world] The Player <Enderlava> has died with 34 level(s) at X= -21, Y= 63, Z= -288 | caused by KILL | 
[2023-07-21 18:08:42] [world] The Player <Enderlava> has died with 0 level(s) at X= -21, Y= 63, Z= -287 | caused by KILL | 
[2023-07-21 18:11:58] [world] The Player <1212> has died with 0 level(s) at X= -14, Y= 63, Z= -284 | caused by Player | Enderlava
[2023-07-21 18:12:21] [world] The Player <34234234234> has died with 0 level(s) at X= 0, Y= 69, Z= -237 | caused by Player | wqe123420
[2023-07-21 18:15:04] [world] The Player <121212> has died with 0 level(s) at X= -15, Y= 63, Z= -286 | caused by Player | Enderlava
[2023-07-21 18:19:09] [world] The Player <12213> has died with 0 level(s) at X= -15, Y= 63, Z= -284 | caused by Player | Enderlava
[2023-07-21 22:26:32] [world_nether] The Player <Funget114514> has died with 117 level(s) at X= 158, Y= 7, Z= -557 | caused by LAVA | 
[2023-07-21 22:26:47] [world_nether] The Player <Funget114514> has died with 0 level(s) at X= 160, Y= 23, Z= -551 | caused by LAVA | 
[2023-07-21 22:27:24] [world_nether] The Player <Funget114514> has died with 0 level(s) at X= 160, Y= 23, Z= -551 | caused by LAVA | 
[2023-07-21 22:28:45] [world_nether] The Player <Funget114514> has died with 0 level(s) at X= 160, Y= 19, Z= -551 | caused by LAVA | 
[2023-07-21 22:35:18] [world] The Player <123131313> has died with 0 level(s) at X= -26, Y= 63, Z= -287 | caused by Player | Enderlava
[2023-07-21 22:36:20] [world] The Player <123131313> has died with 0 level(s) at X= -26, Y= 63, Z= -286 | caused by Player | Enderlava
[2023-07-21 22:36:46] [world] The Player <123131313> has died with 0 level(s) at X= -14, Y= 63, Z= -284 | caused by Player | Enderlava
[2023-07-21 22:37:09] [world] The Player <Funget114514> has died with 106 level(s) at X= -7, Y= 63, Z= -286 | caused by ENTITY_ATTACK | 
[2023-07-21 22:40:13] [world] The Player <123131313> has died with 0 level(s) at X= -17, Y= 63, Z= -283 | caused by Player | Funget114514
[2023-07-21 22:40:29] [world] The Player <123131313> has died with 0 level(s) at X= -11, Y= 63, Z= -277 | caused by Player | Enderlava
[2023-07-21 22:40:53] [world] The Player <123131313> has died with 0 level(s) at X= -12, Y= 63, Z= -277 | caused by Player | Enderlava
