[2023-07-06 20:20:37] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -59, Z= -737 with , , , 
[2023-07-06 20:20:40] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -59, Z= -738 with , , , 
[2023-07-06 20:22:04] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -740 with A, , , 
[2023-07-06 20:22:05] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -60, Z= -740 with , , , 
[2023-07-06 20:23:33] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -739 with , , , 
[2023-07-06 20:23:45] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -60, Z= -739 with , , , 
[2023-07-06 20:23:51] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -739 with , , , 
[2023-07-06 20:23:56] [world] The Player <wqe123420> has placed a sign at X= -841, Y= -60, Z= -739 with , , , 
[2023-07-06 20:23:58] [world] The Player <wqe123420> has placed a sign at X= -839, Y= -60, Z= -739 with , , , 
[2023-07-06 20:23:59] [world] The Player <wqe123420> has placed a sign at X= -838, Y= -60, Z= -739 with , , , 
[2023-07-06 20:24:00] [world] The Player <wqe123420> has placed a sign at X= -837, Y= -60, Z= -739 with , , , 
[2023-07-06 20:24:02] [world] The Player <wqe123420> has placed a sign at X= -836, Y= -60, Z= -739 with , , , 
[2023-07-06 20:24:03] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -739 with , , , 
[2023-07-06 20:24:08] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -740 with , , , 
[2023-07-06 20:24:09] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -741 with , , , 
[2023-07-06 20:24:11] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -742 with , , , 
[2023-07-06 20:24:11] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -743 with , , , 
[2023-07-06 20:24:12] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -744 with , , , 
[2023-07-06 20:24:18] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -745 with , , , 
[2023-07-06 20:24:20] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -746 with , , , 
[2023-07-06 20:25:08] [world] The Player <wqe123420> has placed a sign at X= -840, Y= -60, Z= -737 with , , , 
[2023-07-06 20:27:38] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -59, Z= -745 with A, , , 
[2023-07-06 20:27:41] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -59, Z= -745 with , , , 
[2023-07-06 20:27:49] [world] The Player <wqe123420> has placed a sign at X= -835, Y= -60, Z= -745 with , , , 
[2023-07-06 20:27:54] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -745 with , , , 
[2023-07-06 20:28:08] [world] The Player <wqe123420> has placed a sign at X= -833, Y= -60, Z= -744 with , , , 
