[2023-07-10 09:43:39] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -29, Y= -53, Z= -240
[2023-07-10 09:43:49] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -29, Y= -54, Z= -239
[2023-07-10 09:43:58] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -31, Y= -52, Z= -238
[2023-07-10 09:43:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -27, Y= -54, Z= -238
[2023-07-10 09:44:11] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -26, Y= -55, Z= -237
[2023-07-10 09:44:12] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -26, Y= -56, Z= -238
[2023-07-10 09:44:13] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -32, Y= -53, Z= -237
[2023-07-10 09:44:13] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -33, Y= -54, Z= -236
[2023-07-10 09:44:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -34, Y= -54, Z= -238
[2023-07-10 09:44:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -30, Y= -54, Z= -235
[2023-07-10 09:44:38] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -31, Y= -54, Z= -233
[2023-07-10 09:44:40] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -29, Y= -55, Z= -234
[2023-07-10 10:37:36] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -26, Y= -56, Z= -195
[2023-07-10 10:37:58] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -33, Y= -55, Z= -160
[2023-07-10 10:42:23] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -28, Y= -55, Z= -189
[2023-07-10 10:43:28] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -31, Y= -55, Z= -125
[2023-07-10 10:46:26] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -29, Y= -55, Z= -250
[2023-07-10 10:46:45] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -24, Y= -55, Z= -248
[2023-07-10 14:16:04] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -13, Y= 128, Z= -79
