[2023-07-19 12:03:57] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -18, Y= 16, Z= 10
[2023-07-19 12:05:08] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 20, Y= 16, Z= 11
[2023-07-19 12:05:19] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 24, Y= 15, Z= 11
[2023-07-19 12:05:37] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 32, Y= 16, Z= 11
[2023-07-19 12:05:56] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 31, Y= 15, Z= 16
[2023-07-19 12:06:12] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 39, Y= 16, Z= 16
[2023-07-19 12:06:27] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 46, Y= 17, Z= 16
[2023-07-19 12:07:07] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 45, Y= 17, Z= 20
[2023-07-19 12:07:29] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 43, Y= 17, Z= 27
[2023-07-19 12:07:41] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 37, Y= 16, Z= 27
[2023-07-19 12:08:01] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 29, Y= 16, Z= 27
[2023-07-19 12:08:40] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 24, Y= 16, Z= 26
[2023-07-19 12:08:54] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 16, Y= 16, Z= 26
[2023-07-19 12:09:24] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 19, Y= 15, Z= 18
[2023-07-19 12:10:03] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 25, Y= 19, Z= 21
[2023-07-19 12:10:20] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 14, Y= 15, Z= 16
[2023-07-19 12:10:33] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 11, Y= 14, Z= 23
[2023-07-19 12:10:52] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 25, Y= 16, Z= 3
[2023-07-19 12:11:02] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 28, Y= 14, Z= 2
[2023-07-19 12:11:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 32, Y= 14, Z= 0
[2023-07-19 12:13:00] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 14, Y= 15, Z= 0
[2023-07-19 12:13:05] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= 19, Y= 14, Z= -5
