[2023-07-20 10:38:04] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 81, Y= -28, Z= -216
[2023-07-20 10:38:05] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 78, Y= -28, Z= -216
[2023-07-20 10:38:06] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= 89, Y= -28, Z= -216
[2023-07-20 11:23:50] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3104, Y= 63, Z= 4455
[2023-07-20 11:24:35] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3097, Y= 63, Z= 4452
[2023-07-20 11:24:36] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3097, Y= 62, Z= 4449
[2023-07-20 11:24:36] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3099, Y= 59, Z= 4447
[2023-07-20 11:24:43] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3103, Y= 63, Z= 4443
[2023-07-20 11:24:44] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3106, Y= 63, Z= 4442
[2023-07-20 11:24:44] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3100, Y= 61, Z= 4444
[2023-07-20 11:24:45] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3109, Y= 63, Z= 4441
[2023-07-20 11:24:47] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3112, Y= 63, Z= 4440
[2023-07-20 11:24:48] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3118, Y= 63, Z= 4442
[2023-07-20 11:24:48] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -3122, Y= 63, Z= 4441
