[2023-07-21 16:21:55] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -48, Y= 10, Z= -103
[2023-07-21 16:22:27] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 18, Z= -49
[2023-07-21 16:22:39] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -69, Y= 17, Z= -49
[2023-07-21 16:22:59] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 18, Z= -39
[2023-07-21 16:23:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 19, Z= -30
[2023-07-21 16:23:39] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -61, Y= 15, Z= -23
[2023-07-21 16:23:57] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= -18
[2023-07-21 16:24:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -66, Y= 13, Z= -15
[2023-07-21 16:24:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -66, Y= 11, Z= -18
[2023-07-21 16:24:30] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -66, Y= 13, Z= -15
[2023-07-21 16:24:46] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= -7
[2023-07-21 16:24:59] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 14, Z= 0
[2023-07-21 16:25:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 13, Z= 7
[2023-07-21 16:25:28] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 14, Z= 15
[2023-07-21 16:25:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 11, Z= 16
[2023-07-21 16:25:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -63, Y= 10, Z= 17
[2023-07-21 16:26:01] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 11, Z= 30
[2023-07-21 16:26:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 12, Z= 38
[2023-07-21 16:26:31] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 11, Z= 45
[2023-07-21 16:26:44] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -64, Y= 11, Z= 53
[2023-07-21 16:27:19] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 10, Z= 59
[2023-07-21 16:27:35] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 10, Z= 66
[2023-07-21 16:29:00] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 10, Z= 73
[2023-07-21 16:29:18] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 9, Z= 81
[2023-07-21 16:29:51] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 8, Z= 88
[2023-07-21 16:30:18] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 14, Z= 100
[2023-07-21 16:30:36] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -65, Y= 11, Z= 109
[2023-07-21 16:31:33] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has primed a TNT at X= -76, Y= 14, Z= 69
[2023-07-21 16:32:32] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -55, Y= 13, Z= 151
