[2023-06-27 13:19:33] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has primed a TNT at X= -113, Y= 69, Z= -270
[2023-06-27 20:30:26] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -268, Y= 15, Z= -49
[2023-06-27 20:30:27] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -270, Y= 13, Z= -49
[2023-06-27 20:30:28] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -273, Y= 14, Z= -49
[2023-06-27 20:30:28] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -272, Y= 11, Z= -49
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -277, Y= 15, Z= -49
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -277, Y= 18, Z= -50
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -279, Y= 13, Z= -47
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -284, Y= 15, Z= -49
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -282, Y= 14, Z= -49
[2023-06-27 20:30:29] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -280, Y= 10, Z= -49
[2023-06-27 20:30:30] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -287, Y= 15, Z= -49
[2023-06-27 20:30:30] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -287, Y= 12, Z= -47
[2023-06-27 20:30:31] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -292, Y= 15, Z= -49
[2023-06-27 20:30:31] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -291, Y= 14, Z= -50
[2023-06-27 20:30:31] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -289, Y= 11, Z= -52
[2023-06-27 20:30:32] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -296, Y= 15, Z= -48
[2023-06-27 20:30:32] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -296, Y= 16, Z= -47
[2023-06-27 20:30:32] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -298, Y= 11, Z= -49
[2023-06-27 20:30:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -302, Y= 12, Z= -50
[2023-06-27 20:30:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -303, Y= 15, Z= -49
[2023-06-27 20:30:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -298, Y= 18, Z= -46
[2023-06-27 20:30:33] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -307, Y= 14, Z= -51
[2023-06-27 20:30:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -305, Y= 16, Z= -46
[2023-06-27 20:30:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -311, Y= 15, Z= -48
[2023-06-27 20:30:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -305, Y= 15, Z= -53
[2023-06-27 20:30:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -313, Y= 14, Z= -51
[2023-06-27 20:30:34] [world_nether] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has primed a TNT at X= -311, Y= 13, Z= -48
